wine,year,winery,price,bottle,type_wine,type_wine_details,grapes,num_varieties,type_agriculture,region,region_gi,alcohol_content,tasting_notes,customer_reviews,customer_reviews_number,parker_score,parker_score_num,penin_score,image,url
Freixenet Carta Nevada Semisec,,Freixenet,11.6,0.75,Sparkling,Cava,Macabeo,Blend,Conventional,Cataluña,DO Cava,11.5,dry fruit-forward balanced fresh honeyed fine elegant aromatic fruity floral_scents white_flowers almond_blossom honeysuckle vine_peach,4.8,20.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/freicvs_anv800.png,https://www.vinissimus.com/en/cava/freixenet-carta-nevada-semisec/
Freixenet Carta Nevada Semisec,,Freixenet,11.6,0.75,Sparkling,Cava,Xarel·lo,Blend,Conventional,Cataluña,DO Cava,11.5,dry fruit-forward balanced fresh honeyed fine elegant aromatic fruity floral_scents white_flowers almond_blossom honeysuckle vine_peach,4.8,20.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/freicvs_anv800.png,https://www.vinissimus.com/en/cava/freixenet-carta-nevada-semisec/
Freixenet Carta Nevada Semisec,,Freixenet,11.6,0.75,Sparkling,Cava,Parellada,Blend,Conventional,Cataluña,DO Cava,11.5,dry fruit-forward balanced fresh honeyed fine elegant aromatic fruity floral_scents white_flowers almond_blossom honeysuckle vine_peach,4.8,20.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/freicvs_anv800.png,https://www.vinissimus.com/en/cava/freixenet-carta-nevada-semisec/
Domaines Lupier La Dama 2018,2018,Domaines Lupier,40.6,0.75,Red,Red,Garnacha,Varietal,Conventional,Navarra,Navarre,14.0,balanced refreshing_acidity dry elegant mineral highly_aromatic white_fruit,0.0,0.0,97,97.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/dldam18_anv800.png,https://www.vinissimus.com/en/wine/domaines-lupier-la-dama/
Cora de Loxarel 2022,2022,Loxarel Vitivinicultors,11.4,0.75,White,White,Muscat of Alexandria,Blend,Biodynamic,Cataluña,Penedès,12.5,sparkling light pleasant fresh aromatic floral_scents fruit,4.8,4.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/lcora22_anv800.png,https://www.vinissimus.com/en/wine/cora-de-loxarel/
Cora de Loxarel 2022,2022,Loxarel Vitivinicultors,11.4,0.75,White,White,Xarel·lo,Blend,Biodynamic,Cataluña,Penedès,12.5,sparkling light pleasant fresh aromatic floral_scents fruit,4.8,4.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/lcora22_anv800.png,https://www.vinissimus.com/en/wine/cora-de-loxarel/
Valldolina Reserva Brut Nature,,Valldolina,13.2,0.75,Sparkling,Cava,Macabeo,Blend,Organic,Cataluña,DO Cava,11.5,fleshy complex unctuous well-integrated_tannins balanced pleasant_finish roasted highly_aromatic fruit ripe_fruit ageing toasty oak_wood elegant,4.2,70.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/valldor_anv800.png,https://www.vinissimus.com/en/cava/vall-dolina-reserva-brut-nature/
Valldolina Reserva Brut Nature,,Valldolina,13.2,0.75,Sparkling,Cava,Xarel·lo,Blend,Organic,Cataluña,DO Cava,11.5,fleshy complex unctuous well-integrated_tannins balanced pleasant_finish roasted highly_aromatic fruit ripe_fruit ageing toasty oak_wood elegant,4.2,70.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/valldor_anv800.png,https://www.vinissimus.com/en/cava/vall-dolina-reserva-brut-nature/
Valldolina Reserva Brut Nature,,Valldolina,13.2,0.75,Sparkling,Cava,Parellada,Blend,Organic,Cataluña,DO Cava,11.5,fleshy complex unctuous well-integrated_tannins balanced pleasant_finish roasted highly_aromatic fruit ripe_fruit ageing toasty oak_wood elegant,4.2,70.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/valldor_anv800.png,https://www.vinissimus.com/en/cava/vall-dolina-reserva-brut-nature/
Valldolina Reserva Brut Nature,,Valldolina,13.2,0.75,Sparkling,Cava,Chardonnay,Blend,Organic,Cataluña,DO Cava,11.5,fleshy complex unctuous well-integrated_tannins balanced pleasant_finish roasted highly_aromatic fruit ripe_fruit ageing toasty oak_wood elegant,4.2,70.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/valldor_anv800.png,https://www.vinissimus.com/en/cava/vall-dolina-reserva-brut-nature/
